2024-04-09_21:04:42 | Creating mixtures...
2024-04-09_21:04:44 | Mixture 1 | Initializing atomic positions (Attempt 1)
2024-04-09_21:04:44 | Mixture 1 | Generating Mixture...
2024-04-09_21:04:44 | Mixture 1 | Generating Sobol positions...
2024-04-09_21:04:44 | Mixture 1 | Translating molecules to Sobol positions...
2024-04-09_21:04:44 | Mixture 1 | Calculating pseudo potential energy...
2024-04-09_21:04:46 | Mixture 1 | Mixture accepted? False.
2024-04-09_21:04:46 | Mixture 1 | Mixture completed after  4.10s.
2024-04-09_21:04:48 | Mixture 1 | Initializing atomic positions (Attempt 2)
2024-04-09_21:04:48 | Mixture 1 | Generating Mixture...
2024-04-09_21:04:48 | Mixture 1 | Generating Sobol positions...
2024-04-09_21:04:48 | Mixture 1 | Translating molecules to Sobol positions...
2024-04-09_21:04:48 | Mixture 1 | Calculating pseudo potential energy...
2024-04-09_21:04:49 | Mixture 1 | Mixture accepted? False.
2024-04-09_21:04:49 | Mixture 1 | Mixture completed after  3.18s.
2024-04-09_21:04:51 | Mixture 1 | Initializing atomic positions (Attempt 3)
2024-04-09_21:04:51 | Mixture 1 | Generating Mixture...
2024-04-09_21:04:51 | Mixture 1 | Generating Sobol positions...
2024-04-09_21:04:51 | Mixture 1 | Translating molecules to Sobol positions...
2024-04-09_21:04:51 | Mixture 1 | Calculating pseudo potential energy...
2024-04-09_21:04:52 | Mixture 1 | Mixture accepted? False.
2024-04-09_21:04:52 | Mixture 1 | Mixture completed after  3.28s.
2024-04-09_21:04:54 | Mixture 1 | Initializing atomic positions (Attempt 4)
2024-04-09_21:04:54 | Mixture 1 | Generating Mixture...
2024-04-09_21:04:54 | Mixture 1 | Generating Sobol positions...
2024-04-09_21:04:54 | Mixture 1 | Translating molecules to Sobol positions...
2024-04-09_21:04:54 | Mixture 1 | Calculating pseudo potential energy...
2024-04-09_21:04:56 | Mixture 1 | Mixture accepted? False.
2024-04-09_21:04:56 | Mixture 1 | Mixture completed after  3.55s.
2024-04-09_21:04:58 | Mixture 1 | Initializing atomic positions (Attempt 5)
2024-04-09_21:04:58 | Mixture 1 | Generating Mixture...
2024-04-09_21:04:58 | Mixture 1 | Generating Sobol positions...
2024-04-09_21:04:58 | Mixture 1 | Translating molecules to Sobol positions...
2024-04-09_21:04:58 | Mixture 1 | Calculating pseudo potential energy...
2024-04-09_21:05:00 | Mixture 1 | Mixture accepted? False.
2024-04-09_21:05:00 | Mixture 1 | Mixture completed after  4.21s.
2024-04-09_21:05:02 | Mixture 1 | Initializing atomic positions (Attempt 6)
2024-04-09_21:05:02 | Mixture 1 | Generating Mixture...
2024-04-09_21:05:02 | Mixture 1 | Generating Sobol positions...
2024-04-09_21:05:02 | Mixture 1 | Translating molecules to Sobol positions...
2024-04-09_21:05:03 | Mixture 1 | Calculating pseudo potential energy...
2024-04-09_21:05:04 | Mixture 1 | Mixture accepted? True.
2024-04-09_21:05:04 | Program run terminated successfully after  22.65s.
